"testId","testDate","age","personality","testScore","satisfactionScore"
115,2024-01-04,22,"Introvert",59.8,10
116,2024-01-04,57,"Extrovert",67.6,9.3
117,2024-01-04,20,"Introvert",87,9.6
118,2024-01-04,60,"Introvert",34.5,8.6
119,2024-01-04,45,"Introvert",92.6,9.7
120,2024-01-04,58,"Extrovert",55.4,8.5
121,2024-01-04,24,"Introvert",90.5,10
122,2024-01-04,27,"Introvert",78,9.9
123,2024-01-04,37,"Extrovert",67.6,8.7
124,2024-01-04,19,"Extrovert",82.4,8.9
125,2024-01-04,25,"Introvert",60.7,9.5
126,2024-01-04,23,"Introvert",49.8,9
127,2024-01-04,32,"Extrovert",75.3,9.7
128,2024-01-04,59,"Introvert",73.7,9.4
129,2024-01-04,39,"Introvert",55.6,9.3
130,2024-01-04,28,"Extrovert",83.6,9.4
131,2024-01-04,30,"Introvert",66.3,9.6
132,2024-01-04,58,"Introvert",77.3,9.6
133,2024-01-04,32,"Introvert",80,10
134,2024-01-04,47,"Introvert",92.6,10
135,2024-01-04,56,"Introvert",73.9,9.4
136,2024-01-04,53,"Introvert",64,9.9
137,2024-01-05,56,"Introvert",79.8,6.4
138,2024-01-05,32,"Introvert",65.1,6
139,2024-01-05,32,"Extrovert",45.3,10
140,2024-01-05,40,"Extrovert",78.6,9.4
141,2024-01-05,32,"Introvert",63,6.3
142,2024-01-05,44,"Introvert",76.1,6.4
143,2024-01-05,21,"Extrovert",70.9,10
144,2024-01-05,37,"Extrovert",48.4,9.7
145,2024-01-05,32,"Extrovert",64.3,10
146,2024-01-05,28,"Extrovert",60.5,9.5
147,2024-01-05,45,"Extrovert",83,10
148,2024-01-05,42,"Introvert",73,6.3
149,2024-01-05,39,"Introvert",82.3,6.8
150,2024-01-05,48,"Introvert",66.4,6.1
151,2024-01-05,36,"Introvert",76.5,6.3
152,2024-01-05,58,"Extrovert",81,10
153,2024-01-05,23,"Introvert",60.8,6
154,2024-01-05,60,"Extrovert",73.8,9.7
155,2024-01-05,37,"Introvert",59.8,6.8
156,2024-01-05,22,"Extrovert",62.4,10
157,2024-01-05,48,"Extrovert",84.9,10
158,2024-01-05,20,"Extrovert",68.7,9.4
159,2024-01-05,27,"Introvert",65.3,5.4
160,2024-01-05,58,"Introvert",70.8,5.9
161,2024-01-05,38,"Extrovert",54.1,9.6
162,2024-01-05,36,"Introvert",49.7,6.3
163,2024-01-05,22,"Introvert",66.5,5.5
164,2024-01-05,23,"Introvert",73.7,5.8
165,2024-01-05,43,"Extrovert",56,9.5
166,2024-01-05,18,"Introvert",73.5,6.4
167,2024-01-05,59,"Extrovert",57.9,9.1
168,2024-01-05,28,"Introvert",60,6.1
169,2024-01-05,35,"Introvert",82.5,6.4
170,2024-01-05,24,"Extrovert",74.7,9.9
171,2024-01-05,60,"Extrovert",71.5,9.7
172,2024-01-05,35,"Introvert",57.9,6.2
173,2024-01-05,46,"Extrovert",66,10
174,2024-01-05,53,"Extrovert",65.5,10
175,2024-01-05,59,"Introvert",91.2,7
176,2024-01-05,54,"Extrovert",82.1,9.8
177,2024-01-05,21,"Introvert",68.1,6.5
178,2024-01-05,59,"Extrovert",78.6,10
179,2024-01-05,31,"Extrovert",81.9,10
180,2024-01-06,60,"Extrovert",80.3,10
181,2024-01-06,53,"Introvert",76.1,8.3
182,2024-01-06,25,"Extrovert",75.9,9.4
183,2024-01-06,60,"Extrovert",56,9.9
184,2024-01-06,20,"Introvert",68.9,7.7
185,2024-01-06,58,"Extrovert",65.1,9.6
186,2024-01-06,44,"Extrovert",64,9.3
187,2024-01-06,31,"Introvert",74.4,8.8
188,2024-01-06,44,"Introvert",86.4,8.5
189,2024-01-06,57,"Introvert",90,9.2
190,2024-01-06,49,"Introvert",85.1,8.7
191,2024-01-06,19,"Introvert",64.2,8.5
192,2024-01-06,35,"Introvert",63.3,8.5
193,2024-01-06,58,"Extrovert",53.2,9.4
194,2024-01-06,37,"Extrovert",79.1,9.4
195,2024-01-06,23,"Introvert",81.9,8.4
196,2024-01-06,30,"Introvert",75.4,8.8
197,2024-01-06,25,"Introvert",79.8,8.8
198,2024-01-06,51,"Extrovert",75.2,9.4
199,2024-01-06,48,"Introvert",74.3,8.4
200,2024-01-06,58,"Introvert",79.4,8.7
201,2024-01-06,26,"Extrovert",65.6,9.3
202,2024-01-06,17,"Introvert",70.3,7.9
203,2024-01-06,56,"Introvert",100,9.3
204,2024-01-06,41,"Extrovert",92.4,10
205,2024-01-06,45,"Extrovert",79.2,10
206,2024-01-06,49,"Extrovert",82.2,10
207,2024-01-06,27,"Introvert",64.6,7.8
208,2024-01-06,38,"Introvert",66.5,8.3
209,2024-01-06,20,"Introvert",93.1,9.1
210,2024-01-06,34,"Extrovert",47.3,9.3
211,2024-01-06,41,"Extrovert",75.4,9.5
212,2024-01-06,35,"Introvert",63.3,8.8
213,2024-01-07,34,"Introvert",100,7.2
214,2024-01-07,32,"Introvert",86.1,7.2
215,2024-01-07,41,"Introvert",61.1,6.9
216,2024-01-07,53,"Introvert",61.5,6.7
217,2024-01-07,41,"Introvert",81.1,6.7
218,2024-01-07,28,"Introvert",67.4,7
219,2024-01-07,38,"Extrovert",79.7,9.8
220,2024-01-07,41,"Introvert",69.5,7.2
221,2024-01-07,17,"Introvert",72.9,6.8
222,2024-01-07,53,"Extrovert",67.6,10
223,2024-01-07,23,"Extrovert",86.1,10
224,2024-01-07,42,"Extrovert",68.9,9.6
225,2024-01-07,50,"Extrovert",75.6,10
226,2024-01-07,59,"Introvert",57.4,6.3
227,2024-01-07,56,"Extrovert",54.1,10
228,2024-01-07,20,"Extrovert",75.7,10
229,2024-01-07,18,"Extrovert",64.5,10
230,2024-01-07,49,"Introvert",79.1,7.1
231,2024-01-07,33,"Extrovert",67.9,9.7
232,2024-01-07,44,"Extrovert",54.6,9.9
233,2024-01-07,48,"Extrovert",72,10
234,2024-01-07,19,"Extrovert",81.9,9.8
235,2024-01-07,31,"Extrovert",75.9,10
236,2024-01-07,50,"Extrovert",75,10
237,2024-01-07,53,"Introvert",66.2,7.5
238,2024-01-07,49,"Extrovert",96.9,10
239,2024-01-07,26,"Introvert",82.9,6.8
240,2024-01-07,23,"Extrovert",81.3,10
241,2024-01-07,60,"Extrovert",64,9.9
242,2024-01-07,50,"Introvert",48.6,6
243,2024-01-07,20,"Extrovert",75.4,9.9
244,2024-01-07,56,"Introvert",42.9,6.3
245,2024-01-07,35,"Introvert",66.4,6
246,2024-01-07,23,"Introvert",74,7
247,2024-01-07,48,"Introvert",65.3,6.3
248,2024-01-07,42,"Introvert",75.7,7.7
249,2024-01-07,22,"Extrovert",72.4,9.4
250,2024-01-07,46,"Introvert",80.3,7.4
251,2024-01-07,50,"Extrovert",95,10
252,2024-01-07,27,"Introvert",40.9,6.1
253,2024-01-07,27,"Introvert",66.3,6.7
254,2024-01-08,36,"Extrovert",59.1,9.7
255,2024-01-08,54,"Introvert",77.1,9
256,2024-01-08,36,"Introvert",85.3,9
257,2024-01-08,24,"Extrovert",82.8,9.6
258,2024-01-08,40,"Introvert",60.4,8.4
259,2024-01-08,27,"Introvert",79.8,8.3
260,2024-01-08,45,"Introvert",81.1,8.8
261,2024-01-08,29,"Introvert",62,8.3
262,2024-01-08,21,"Introvert",75.5,8.4
263,2024-01-08,41,"Introvert",68.8,8.6
264,2024-01-08,29,"Extrovert",57.4,9.8
265,2024-01-08,51,"Introvert",72,8.3
266,2024-01-08,60,"Extrovert",64.2,9.5
267,2024-01-08,55,"Introvert",69.1,8.4
268,2024-01-08,56,"Introvert",75.3,8.5
269,2024-01-08,40,"Extrovert",64.5,10
270,2024-01-08,41,"Extrovert",75.8,9.6
271,2024-01-08,35,"Introvert",78.6,8.2
272,2024-01-08,54,"Introvert",88.8,9.4
273,2024-01-08,19,"Introvert",55.4,8.5
274,2024-01-08,43,"Introvert",62.6,8.6
275,2024-01-08,52,"Extrovert",74.8,9.4
276,2024-01-08,25,"Introvert",82.5,8.8
277,2024-01-08,51,"Introvert",76.7,8.7
278,2024-01-08,31,"Introvert",62,8.5
279,2024-01-08,59,"Extrovert",77.4,9.9
280,2024-01-08,23,"Introvert",50.8,8.8
281,2024-01-08,34,"Extrovert",65.8,8.9
282,2024-01-08,55,"Introvert",81,8.8
283,2024-01-08,51,"Introvert",63.4,8.5
284,2024-01-08,23,"Extrovert",59.4,9.6
285,2024-01-08,28,"Introvert",81,10
286,2024-01-09,30,"Introvert",71.1,8.9
287,2024-01-09,53,"Introvert",53.6,8.1
288,2024-01-09,30,"Extrovert",63.5,9.8
289,2024-01-09,24,"Introvert",79,8.8
290,2024-01-09,39,"Extrovert",61.4,9.2
291,2024-01-09,41,"Introvert",73.2,9
292,2024-01-09,16,"Extrovert",51.7,9.5
293,2024-01-09,43,"Extrovert",63.4,9.2
294,2024-01-09,34,"Introvert",75.9,8.3
295,2024-01-09,43,"Introvert",74.6,9.2
296,2024-01-09,34,"Extrovert",89.2,9.9
297,2024-01-09,27,"Introvert",100,8.9
298,2024-01-09,37,"Extrovert",61.8,10
299,2024-01-09,35,"Introvert",63.3,7.7
300,2024-01-09,21,"Extrovert",63.6,10
301,2024-01-09,17,"Introvert",73.1,8.3
302,2024-01-09,31,"Extrovert",63.7,9.2
303,2024-01-09,39,"Introvert",64.5,8.5
304,2024-01-09,38,"Introvert",79,9
305,2024-01-09,33,"Extrovert",97,9.7
306,2024-01-09,28,"Extrovert",48,9
307,2024-01-09,56,"Introvert",40.5,8.1
308,2024-01-09,16,"Introvert",70.5,7.7
309,2024-01-09,27,"Introvert",53.4,8.1
310,2024-01-09,55,"Extrovert",66.2,9.6
311,2024-01-09,56,"Introvert",65.3,8.8
312,2024-01-09,27,"Extrovert",57.6,10
313,2024-01-09,52,"Introvert",77.7,8.6
314,2024-01-09,54,"Extrovert",68.9,9.4
315,2024-01-09,55,"Introvert",54,7.3
316,2024-01-09,56,"Extrovert",62.2,9.5
317,2024-01-09,55,"Introvert",60.9,8.3
318,2024-01-09,36,"Introvert",83.2,8.2
319,2024-01-10,51,"Extrovert",77.5,10
320,2024-01-10,39,"Extrovert",66.6,9.9
321,2024-01-10,40,"Extrovert",59.5,9.8
322,2024-01-10,50,"Introvert",61.1,8.6
323,2024-01-10,16,"Extrovert",65.9,8.5
324,2024-01-10,27,"Extrovert",81.8,9.9
325,2024-01-10,19,"Extrovert",79.3,9.5
326,2024-01-10,28,"Introvert",73.1,8.1
327,2024-01-10,16,"Introvert",69.3,8.6
328,2024-01-10,44,"Extrovert",70.7,10
329,2024-01-10,31,"Introvert",74.1,8.5
330,2024-01-10,41,"Introvert",76.7,8
331,2024-01-10,43,"Introvert",80.1,9.2
332,2024-01-10,50,"Extrovert",82,9.9
333,2024-01-10,40,"Extrovert",83.9,10
334,2024-01-10,53,"Extrovert",90.4,9.7
335,2024-01-10,58,"Introvert",60.2,7.9
336,2024-01-10,20,"Extrovert",65.5,9.5
337,2024-01-10,52,"Introvert",63,7.9
338,2024-01-10,52,"Introvert",55,7.9
339,2024-01-10,47,"Extrovert",90.1,10
340,2024-01-10,60,"Introvert",77.2,8.9
341,2024-01-10,54,"Extrovert",65.8,10
342,2024-01-10,46,"Extrovert",74.6,9.4
343,2024-01-10,35,"Extrovert",81.8,9.9
344,2024-01-10,37,"Introvert",64,8
345,2024-01-10,19,"Extrovert",64.4,9.6
346,2024-01-10,34,"Introvert",68.8,8.7
347,2024-01-10,30,"Introvert",70.9,8.8
348,2024-01-10,55,"Extrovert",68.2,9.5
349,2024-01-10,27,"Introvert",59.2,7.9
350,2024-01-10,59,"Extrovert",49.3,9.5
351,2024-01-10,18,"Introvert",55.6,8.8
352,2024-01-11,37,"Introvert",57.6,8.6
353,2024-01-11,25,"Introvert",78,8.8
354,2024-01-11,36,"Extrovert",52.2,10
355,2024-01-11,36,"Introvert",70.3,9.2
356,2024-01-11,22,"Introvert",73.3,8.9
357,2024-01-11,20,"Extrovert",77.7,9.8
358,2024-01-11,43,"Introvert",94.2,9.5
359,2024-01-11,34,"Introvert",51.1,8.4
360,2024-01-11,22,"Extrovert",74.5,9.9
361,2024-01-11,16,"Introvert",60.6,8.3
362,2024-01-11,25,"Extrovert",68.7,9.1
363,2024-01-11,18,"Extrovert",56.9,9.1
364,2024-01-11,27,"Introvert",74,8.6
365,2024-01-11,52,"Introvert",77.7,8.7
366,2024-01-11,44,"Extrovert",64.3,9.3
367,2024-01-11,39,"Introvert",57.5,8.1
368,2024-01-11,24,"Introvert",87.4,8.8
369,2024-01-11,32,"Extrovert",77.8,9.5
370,2024-01-11,20,"Introvert",85.3,9.5
371,2024-01-11,35,"Introvert",58.6,9
372,2024-01-11,55,"Introvert",62.2,8.2
373,2024-01-11,60,"Extrovert",71.4,8.5
374,2024-01-11,53,"Introvert",84.1,9.4
375,2024-01-11,49,"Extrovert",100,10
376,2024-01-11,49,"Extrovert",68.1,10
377,2024-01-11,48,"Introvert",65.7,8.5
378,2024-01-11,51,"Introvert",93.7,9.6
379,2024-01-11,52,"Introvert",68,8.4
380,2024-01-11,37,"Extrovert",86.2,9.2
381,2024-01-11,41,"Extrovert",74.3,10
382,2024-01-12,16,"Introvert",86,7.5
383,2024-01-12,51,"Introvert",69.5,9.3
384,2024-01-12,25,"Extrovert",65.5,10
385,2024-01-12,51,"Extrovert",78.9,9.9
386,2024-01-12,24,"Introvert",79.3,8.9
387,2024-01-12,31,"Extrovert",52.5,9.3
388,2024-01-12,19,"Introvert",74,8.1
389,2024-01-12,53,"Extrovert",77,10
390,2024-01-12,42,"Extrovert",77,10
391,2024-01-12,20,"Introvert",73.3,8.4
392,2024-01-12,27,"Introvert",70.5,8.4
393,2024-01-12,40,"Extrovert",75.7,9.3
394,2024-01-12,57,"Extrovert",68.5,9.2
395,2024-01-12,39,"Introvert",85.3,8.2
396,2024-01-12,24,"Introvert",61.9,8.4
397,2024-01-12,58,"Extrovert",91.2,10
398,2024-01-12,57,"Extrovert",57,9.4
399,2024-01-12,49,"Introvert",83.5,8.1
400,2024-01-12,25,"Introvert",88.4,9
401,2024-01-12,17,"Introvert",59.1,8.3
402,2024-01-12,32,"Introvert",86.4,8.6
403,2024-01-12,39,"Introvert",68.9,8
404,2024-01-12,39,"Extrovert",82.8,10
405,2024-01-12,46,"Introvert",47,7.8
406,2024-01-12,35,"Extrovert",82.1,10
407,2024-01-12,22,"Introvert",87.2,9.1
408,2024-01-12,24,"Extrovert",79,10
409,2024-01-12,59,"Extrovert",78,10
410,2024-01-12,51,"Introvert",76.8,8
411,2024-01-12,45,"Introvert",82.9,8.7
412,2024-01-12,50,"Introvert",72.9,8.8
413,2024-01-12,25,"Extrovert",82.5,10
414,2024-01-12,32,"Extrovert",70.6,10
415,2024-01-12,27,"Introvert",53.2,7.9
416,2024-01-13,50,"Extrovert",64.2,9.9
417,2024-01-13,37,"Extrovert",80.5,9.5
418,2024-01-13,18,"Introvert",72.6,8.6
419,2024-01-13,23,"Extrovert",81.7,9.9
420,2024-01-13,43,"Introvert",85.1,9.3
421,2024-01-13,48,"Introvert",83,9.1
422,2024-01-13,28,"Introvert",81.5,9.8
423,2024-01-13,37,"Extrovert",69.8,9.1
424,2024-01-13,29,"Extrovert",69.2,9.8
425,2024-01-13,16,"Introvert",67.6,9.2
426,2024-01-13,38,"Introvert",81,9.3
427,2024-01-13,42,"Introvert",91,9.6
428,2024-01-13,22,"Introvert",72.6,8.8
429,2024-01-13,28,"Introvert",71.4,8.7
430,2024-01-13,30,"Extrovert",71.4,9.8
431,2024-01-13,36,"Extrovert",67,9.3
432,2024-01-13,51,"Introvert",69.3,8.5
433,2024-01-13,26,"Introvert",88.2,9
434,2024-01-13,30,"Extrovert",64.9,10
435,2024-01-13,29,"Introvert",73.5,8.7
436,2024-01-13,23,"Introvert",64.6,8.6
437,2024-01-13,35,"Introvert",58.1,9.5
438,2024-01-13,60,"Extrovert",67.9,10
439,2024-01-13,47,"Extrovert",76.2,9.3
440,2024-01-13,27,"Introvert",51.7,8.7
441,2024-01-13,48,"Extrovert",79.3,9.8
442,2024-01-13,29,"Extrovert",64.6,10
443,2024-01-13,51,"Extrovert",54.2,8.8
444,2024-01-13,30,"Introvert",67.7,8.9
445,2024-01-13,58,"Extrovert",85.2,10
446,2024-01-13,57,"Extrovert",39.7,8.8
447,2024-01-14,17,"Introvert",59.1,6.5
448,2024-01-14,40,"Introvert",53.8,7.2
449,2024-01-14,50,"Extrovert",62.2,9.5
450,2024-01-14,34,"Extrovert",56,9.7
451,2024-01-14,48,"Extrovert",91.1,10
452,2024-01-14,37,"Introvert",69.1,6.3
453,2024-01-14,19,"Extrovert",65.4,10
454,2024-01-14,27,"Introvert",81.2,7.2
455,2024-01-14,44,"Introvert",56.7,6.8
456,2024-01-14,29,"Extrovert",54,10
457,2024-01-14,50,"Extrovert",54,10
458,2024-01-14,45,"Introvert",64,6.5
459,2024-01-14,35,"Introvert",57.9,6.7
460,2024-01-14,42,"Introvert",64.2,6.6
461,2024-01-14,32,"Introvert",77.2,7.4
462,2024-01-14,22,"Introvert",64.7,6.6
463,2024-01-14,50,"Introvert",81.5,7
464,2024-01-14,39,"Extrovert",85.1,10
465,2024-01-14,46,"Extrovert",77.1,10
466,2024-01-14,48,"Extrovert",57.4,9.8
467,2024-01-14,39,"Introvert",82.4,7.8
468,2024-01-14,50,"Extrovert",73.9,10
469,2024-01-14,51,"Introvert",68.2,7
470,2024-01-14,35,"Extrovert",83.8,9.3
471,2024-01-14,60,"Extrovert",83.8,10
472,2024-01-14,23,"Introvert",61.9,7
473,2024-01-14,46,"Introvert",83.2,7.5
474,2024-01-14,47,"Introvert",68.3,6.9
475,2024-01-14,58,"Extrovert",68.8,10
476,2024-01-14,57,"Introvert",90.2,7.6
477,2024-01-14,36,"Introvert",69,7.5
478,2024-01-14,40,"Introvert",72.6,7.3
479,2024-01-14,48,"Introvert",63.2,6.5
480,2024-01-14,28,"Introvert",85.9,7.1
481,2024-01-14,21,"Introvert",89.4,7.1
482,2024-01-14,59,"Introvert",39.9,6.1
483,2024-01-14,60,"Introvert",62.2,6.9
484,2024-01-14,54,"Extrovert",72.8,9.7
485,2024-01-14,25,"Extrovert",63.9,9.2
486,2024-01-14,33,"Extrovert",65.5,10
487,2024-01-15,24,"Introvert",57.6,5.6
488,2024-01-15,55,"Extrovert",71.6,10
489,2024-01-15,39,"Extrovert",68.6,10
490,2024-01-15,59,"Introvert",68,6.1
491,2024-01-15,49,"Introvert",73.1,6.6
492,2024-01-15,40,"Extrovert",84.2,10
493,2024-01-15,21,"Extrovert",65.4,9.5
494,2024-01-15,48,"Introvert",86.4,6
495,2024-01-15,31,"Introvert",56.8,5.9
496,2024-01-15,40,"Extrovert",50,9.7
497,2024-01-15,22,"Introvert",56.8,5.9
498,2024-01-15,19,"Introvert",69.8,6.5
499,2024-01-15,17,"Introvert",81.6,7.3
500,2024-01-15,47,"Extrovert",85.5,9.8
501,2024-01-15,17,"Introvert",62.8,5.3
502,2024-01-15,42,"Introvert",75.3,7.1
503,2024-01-15,36,"Introvert",78.6,6.2
504,2024-01-15,21,"Introvert",69.9,6.5
505,2024-01-15,42,"Extrovert",65.8,9.4
506,2024-01-15,33,"Extrovert",78.2,10
507,2024-01-15,24,"Introvert",56.4,5.8
508,2024-01-15,37,"Extrovert",75.2,10
509,2024-01-15,27,"Introvert",91,6
510,2024-01-15,54,"Introvert",73.5,5.9
511,2024-01-15,24,"Introvert",77.4,6.8
512,2024-01-15,21,"Introvert",88.8,6.8
513,2024-01-15,21,"Extrovert",70.2,10
514,2024-01-15,47,"Introvert",75.2,6.3
515,2024-01-15,44,"Introvert",95.1,7.2
516,2024-01-15,31,"Introvert",68.1,6.3
517,2024-01-15,33,"Introvert",67.1,6.4
518,2024-01-15,54,"Introvert",69.8,6.7
519,2024-01-15,52,"Introvert",73.9,5.8
520,2024-01-15,32,"Introvert",65.2,6.3
521,2024-01-15,36,"Introvert",84.1,6.8
522,2024-01-15,55,"Extrovert",73.9,9.2
523,2024-01-15,30,"Introvert",76.2,6.8
524,2024-01-15,20,"Introvert",50,6.1
525,2024-01-15,58,"Introvert",41.7,6
526,2024-01-15,37,"Introvert",69.4,7
527,2024-01-15,35,"Introvert",43.3,5.5
528,2024-01-15,45,"Introvert",73.7,6.4
529,2024-01-15,43,"Introvert",75.1,6.1
530,2024-01-16,35,"Extrovert",92.7,10
531,2024-01-16,23,"Extrovert",76.2,9.1
532,2024-01-16,50,"Extrovert",74.5,10
533,2024-01-16,47,"Introvert",50.4,7.7
534,2024-01-16,53,"Extrovert",84.5,10
535,2024-01-16,24,"Introvert",67.2,6.6
536,2024-01-16,21,"Introvert",91.5,8.1
537,2024-01-16,22,"Extrovert",61.5,9.6
538,2024-01-16,27,"Introvert",68.7,8
539,2024-01-16,36,"Extrovert",50.1,10
540,2024-01-16,49,"Extrovert",63.6,10
541,2024-01-16,40,"Introvert",59.5,7
542,2024-01-16,40,"Extrovert",31.4,8.9
543,2024-01-16,34,"Introvert",55.9,6.5
544,2024-01-16,40,"Extrovert",83.5,9.7
545,2024-01-16,51,"Introvert",73.1,7.8
546,2024-01-16,24,"Introvert",57.4,7.2
547,2024-01-16,23,"Introvert",61.4,7.6
548,2024-01-16,24,"Introvert",100,8.2
549,2024-01-16,19,"Introvert",64,7.4
550,2024-01-16,20,"Introvert",75.3,8.4
551,2024-01-16,30,"Introvert",63.6,7.7
552,2024-01-16,58,"Introvert",60.3,7.7
553,2024-01-16,22,"Extrovert",71.8,10
554,2024-01-16,24,"Introvert",64,6.9
555,2024-01-16,49,"Introvert",54.4,7.8
556,2024-01-16,35,"Introvert",67.6,7.2
557,2024-01-16,28,"Extrovert",78.2,10
558,2024-01-16,45,"Extrovert",63.2,10
559,2024-01-16,28,"Introvert",82.9,8.5
560,2024-01-16,31,"Introvert",72,7.7
561,2024-01-16,43,"Extrovert",50.4,9.6
562,2024-01-16,28,"Introvert",68.2,7.5
563,2024-01-16,23,"Extrovert",65.7,10
564,2024-01-16,52,"Extrovert",59.5,9.3
565,2024-01-16,25,"Extrovert",53.5,9.4
566,2024-01-16,45,"Introvert",74.9,7.3
